text,label,x0,y0,x1,y1,width,height,page,pdf
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
18. 423 P.3d at 965-66.,footnote,256,824,400,833,144,9,4,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"165. See Yost , 685 P.2d at 1160.",footnote,249,836,438,845,189,9,18,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
CRAFTING A NEW CONSERVATIONISM,page_header,355,106,640,117,285,11,41,california_law_review_Crafting_a_New_Conservationism
B. When a Single Company Has Such an Impact on a Legal System,heading,265,705,740,716,475,11,63,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"Figure 11. Number of Applications for a One-Word Nonsense Mark, by Filing Year",caption,263,140,779,167,516,27,48,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
STRUCTURAL INDETERMINACY,page_header,380,106,615,117,235,11,15,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,50,california_law_review_Crafting_a_New_Conservationism
Christopher S. Havasy *,body_text,406,216,594,230,188,14,1,california_law_review_Social_Justice_Conflicts_in_Public_Law
"The previous Part emphasized that once-prominent theories about how to allocate powers among the different branches look altogether different from the tripartite  structural  arguments  that  underlie  ongoing  debates  about  deference, agency adjudication, agency rulemaking, and removal protections. While these arguments have faded from constitutional discourse, they tend to reappear in unexpected places, as modern interpreters of the Constitution pick and choose from the past to shore up modern separation-of-powers arguments.",body_text,226,275,779,384,553,109,56,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
308. See infra Part V.C.2 (discussing relievings).,footnote,197,812,565,826,368,14,73,columbia_forcings
"88 See Juniper , 74 F.4th at 213 (stating that the court's approach combines the respective rationales of the Second and Ninth Circuits' cumulative materiality jurisprudence); Brady v. Maryland, 373 U.S. 83, 87 (1963) (holding that the prosecution's failure to disclose evidence favorable to the defendant violates due process); Napue v. Illinois, 360 U.S. 264, 269 (1959) (holding that the government's knowing use of false testimony violates due process).",footnote,125,827,908,902,783,75,15,boston_college_law_review_Untitled
B. Public Law Has Primarily Adopted Only Mid-Level Procedural Justice Principles,heading,241,286,764,313,523,27,32,california_law_review_Social_Justice_Conflicts_in_Public_Law
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
TABLE 2: ALIGNED AND MISALIGNED OWNERSHIP,caption,285,106,725,123,440,17,39,columbia_forcings
"15. This likely remains the case even after the elimination of the Chevron doctrine in Loper Bright Enters. v. Raimondo , 603 U.S. 369 (2024); see infra Part II.",footnote,226,798,778,820,552,22,6,california_law_review_Crafting_a_New_Conservationism
"The  Court  has  used  liberty  analysis  to  mitigate  its  curtailment  of  group-based  equality analysis. This movement toward liberty has not secured all the ends that would have been available  under  an  extension  of  the  traditional  group-based  equal  protection  analysis. Nonetheless, progressives should pay more heed to this move toward liberty. The libertybased dignity claim has been the Court ' s way of splitting the difference between a direct extension of equality analysis and its absolute foreclosure.",footnote,255,734,748,807,493,73,17,california_law_review_Lovings_Borders
"Figure 4. Amazon's logo, redesigned in 2000",body_text,257,29,576,47,319,18,23,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
TWO STEPS CLOSER TO BRADY 'S ABANDONED PROMISE: THE FOURTH CIRCUIT'S CUMULATIVE MATERIALITY TEST FOR BRADY AND NAPUE CLAIMS,heading,148,102,889,207,741,105,1,boston_college_law_review_Untitled
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
A. The Differing Standards of Materiality Under Brady and Napue,heading,174,363,854,378,680,15,5,boston_college_law_review_Untitled
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
B. Convergence in Formalism and Functionalism,heading,325,302,680,313,355,11,11,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"290. See, e.g., Hadacheck v. Sebastian, 239 U.S. 394, 410-14 (1915) (holding Los Angeles could shut down brickworks without compensation).",footnote,146,857,837,885,691,28,68,columbia_forcings
168. Id. at 2-49. FWS's 2020 EIS approved a standing depredation permit that also allowed lethal take 'only in conjunction with an established nonlethal harassment program.' 2020 Cormorant EIS at 12.,footnote,226,761,778,795,552,34,34,california_law_review_Crafting_a_New_Conservationism
Amazon's Quiet Overhaul of the Trademark System,heading,286,162,723,210,437,48,1,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 7. Number of Applications by Filing Year,caption,263,442,604,453,341,11,32,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"18. Id. § 12111(2), (5)(A).",footnote,256,685,413,693,157,8,4,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
Diagram 1: Visual representation of the different levels of justice.,caption,263,246,723,257,460,11,27,california_law_review_Social_Justice_Conflicts_in_Public_Law
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,16,california_law_review_Social_Justice_Conflicts_in_Public_Law
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,20,california_law_review_Crafting_a_New_Conservationism
"When any large and identifiable segment of the community is excluded from jury service, the effect is to remove from the jury room qualities of human nature and varieties of human experience, the range of which is unknown and perhaps unknowable. It is not necessary to assume that the excluded group will consistently vote as a class in order to conclude, as we do, that its exclusion deprives the jury of a perspective on human events that may have unsuspected importance in any case that may be presented. 166",body_text,256,473,750,590,494,117,20,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
79 . See supra text accompanying notes 54 -55.,footnote,255,659,521,668,266,9,15,california_law_review_Lovings_Borders
"analyses by the Park Service, which claims that killing deer is 'not necessarily [an] adverse impact[]' to deer. 196 In other words, within a single analysis, deer's value morphs; their well-being counts for nothing when NPS decides whether to kill  them  but  counts  for  something  when  NPS  determines  how  many deer to remove. 197 The same variation in status applies to barred owls, bison, cougars, and other abundant animals that agencies remove. 198",body_text,226,140,779,233,553,93,38,california_law_review_Crafting_a_New_Conservationism
Figure 3. Revised T-shirt design,caption,263,140,489,151,226,11,18,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 9. Amazon search results for 'mustache',caption,263,164,597,175,334,11,42,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"96. City of Encinitas v. Cal. Dep't of Hous. & Cmty. Dev., No. 37-2019-00047963-CU-ORNC, 2022 Cal. Super. LEXIS 1969, at *2 (Super. Ct. Jan. 25, 2022).",footnote,226,798,775,820,549,22,11,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"As rate regulation became more complex and administrative records more voluminous,  courts  accepted  that  agencies  were  better  suited  to  weigh  in  on technical matters and to consider the enormous amount of evidence submitted in rate decisions. Surprisingly, however, courts did not impose a more searching standard of review for questions of law. In fact, by the 1920s, when upholding an ICC order, the Court acknowledged that 'what construction shall be given to a railroad tariff presents ordinarily a question of law which does not differ in character from those presented when the construction of any other document is in dispute.' 152 This mode of prudential reasoning justified judicial deference to agency interpretations of law:",body_text,226,256,779,415,553,159,32,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"The  alternative  to  this  proposal  is  a  lack  of  standardized  guidance  for political institutions about how they should consider social justice claims when there are justice conflicts, thereby letting each institution figure it out on its own each time a justice conflict arises in policymaking. In essence, the alternative is the status quo.",body_text,226,256,779,332,553,76,41,california_law_review_Social_Justice_Conflicts_in_Public_Law
2. Unwanted Retention. - Owners may find themselves holding or using property beyond the point where it generates positive returns and even after it begins to impose a burden. Two facets of unwanted retention are considered below: limits on terminating possession and limits on terminating use.,body_text,146,208,837,292,691,84,14,columbia_forcings
TABLE 2: ALIGNED AND MISALIGNED OWNERSHIP,caption,285,106,725,123,440,17,39,columbia_forcings
"272. Cf. Shoup, supra note 269, at 434-40 (predicting 'parking benefit districts' that earmark nonresident parking payments for district services would generate political support for pricing that allows curb space to be well utilized throughout the day, while retaining vacancy rates sufficient for resident parking).",body_text,146,601,837,657,691,56,64,columbia_forcings
A MAZON ' S O VERHAUL OF THE T RADEMARK S YSTEM,heading,318,156,682,167,364,11,29,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"On the opposite end of abstraction is an 'applied justice' principle.  An applied justice principle operates at the least abstract, or most concrete, level because it determines the outcome for only one policy area as a matter of justice. Examples  of  applied  justice  principles  include  (1)  in  the  case  of  a  shortage, ventilators should first be given to younger patients, 140 (2) individuals charged with a crime should have a lawyer at all stages of the criminal trial process, 141 and (3) environmental law should be organized around a precautionary principle to mitigate the likelihood of significant harms. 142",body_text,226,239,779,365,553,126,28,california_law_review_Social_Justice_Conflicts_in_Public_Law
"15. See, e.g. , Cal. Renters Legal Advoc. & Educ. Fund , 283 Cal. Rptr. 3d at 883 (holding that that the legislature's efforts to set housing policy were constitutional).",body_text,226,798,778,820,552,22,3,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
1. Thwarting Policy Goals,heading,256,510,454,521,198,11,47,california_law_review_Crafting_a_New_Conservationism
"408. Multiple justices have highlighted the central importance of the briefs to their deliberations. See B RYAN A. G ARNER , T HE S CRIBES J OURNAL OF L EGAL W RITING 5-6, 101-03, 137 (2010) (Justices Roberts, Thomas, and Ginsburg discussing the importance and influence of good briefs to their decisionmaking). On the influence of briefs to Supreme Court outcomes, see M ORGAN L.W. H AZELTON & R ACHEL K. H INKLE , P ERSUADING THE S UPREME C OURT 127-200 (2022).",body_text,226,735,778,795,552,60,72,california_law_review_Social_Justice_Conflicts_in_Public_Law
"Another  trademark-related  harm  is  the  clutter  of  the  PTO's  trademark register. The increasing number of applications, particularly for marks that do not  function  as  trademarks,  imposes  costs  on  the  PTO,  other  businesses,  and consumers. Increased registrations lead to a so-called 'trademark thicket.' 409 A thicket makes it harder for trademark examiners and businesses to search the",body_text,226,503,779,580,553,77,71,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
T HE A MERICANS WITH D ISABILITIES A CT,heading,358,484,642,495,284,11,3,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"71. S TORY , supra note 67, at 197.",footnote,256,849,453,858,197,9,16,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"304. Bloomberg's  docket  database  allowed  me  to  identify  relevant  complaints,  even  if  they resulted in no written judicial opinions. That said, not all cases' complaints are searchable on Bloomberg, so some cases without written opinions may have evaded my research. I had learned of removals through reporting, court dockets, and discussions with animal law practitioners.",body_text,226,748,778,795,552,47,60,california_law_review_Crafting_a_New_Conservationism
2025] AMAZON'S QUIET OVERHAUL OF THE TRADEMARK SYSTEM,page_header,226,106,721,117,495,11,51,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
342. I thank Josh Macey for pushing me to crystalize this point.,footnote,249,824,605,833,356,9,62,california_law_review_Social_Justice_Conflicts_in_Public_Law
E. Amazon's House Brands,caption,401,471,604,482,203,11,50,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 10. Proportion of Applications with a One-Word Nonsense Mark,caption,263,378,763,389,500,11,47,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 8. Trademark registration for MUSTACHES,caption,263,140,623,151,360,11,41,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
B. Implications Beyond Housing?,heading,379,204,626,215,247,11,22,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"However,  the  multiculturalism  and  pluralism  debates  of  the  1980s  and 1990s  took  their  toll.  Scholars  began  to  push  beyond  liberalism's  basic proposition that the state should minimally interfere in conceptions of the good life and instead doubted the ability of our legal culture to agree on principles of basic justice. 159 This shift was most emblematic in Sunstein's work. In the late 1980s, Sunstein argued for the Rawlsian-influenced civic republican revival. 160 However, by 1995 he began arguing that judges should make decisions based on 'incompletely  theorized  agreements'  given  that  judges  likely  disagree  on matters of basic justice and other abstract normative theories. 161",body_text,226,437,779,580,553,143,31,california_law_review_Social_Justice_Conflicts_in_Public_Law
"83. Jack Daniel's Props., Inc. v. VIP Prods. LLC, 599 U.S. 140, 146 (2023).",footnote,256,748,678,757,422,9,15,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
401. Supra Part III.C.,footnote,249,849,382,858,133,9,69,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 15. Amazon search results for 'Hanes T-shirt',caption,263,361,635,371,372,10,54,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"involving 'intellectual production without intellectual property' (or 'IP without IP') or a 'negative space.' 188 Amazon's Brand Registry is different because it influences parties' use of the formal trademark system. Indeed, the story here is more like 'IP plus IP' or an 'exponential space.'",body_text,226,140,779,200,553,60,30,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,64,california_law_review_Crafting_a_New_Conservationism
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"Another place that the 'general law' might furnish separation-of-powers principles is mine-run federal courts questions about the limits of Article III. Before Erie ,  critics  of  the  general  law  portrayed  the  general  law  as  'a",body_text,226,454,779,498,553,44,36,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
TABLE 1: DOMAINS OF GOVERNMENT ACTION,caption,301,328,709,345,408,17,35,columbia_forcings
"294. Mattioli, supra note 279.",footnote,249,773,426,782,177,9,52,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
TABLE 2: ALIGNED AND MISALIGNED OWNERSHIP,caption,285,106,725,123,440,17,39,columbia_forcings
"54. Id. at ch. II, § 1.",footnote,256,811,378,820,122,9,7,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
"Figure 5. Proportion of Applications by Single and Ten+ Filers, by Filing Year",caption,263,229,779,257,516,28,31,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
A. The Proliferation of Social Justice Claims in Public Law,heading,291,457,714,468,423,11,14,california_law_review_Social_Justice_Conflicts_in_Public_Law
"Defenders of the Constitution argued that the Anti-Federalists' taxonomical exercise-that is, requiring every government power to be paired with the proper label so that no power would be mixed-was a fruitless intellectual endeavor, at least  in  hard  cases.  Where  the  boundaries  between  sovereign  powers  were  at issue, the taxonomy of powers was 'less susceptible of precise limits.' 63 Rather",body_text,226,619,779,696,553,77,15,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
III. CHARTING FORCINGS,heading,379,442,604,459,225,17,34,columbia_forcings
I. MATERIALITY IN FOCUS,heading,379,152,654,167,275,15,5,boston_college_law_review_Untitled
employment viability.' 150 The lack of ADA protections creates a ripple effect contributing  to  the  underrepresentation  of  disabled  attorneys  in  the  federal judiciary specifically and the legal field generally.,body_text,226,137,779,183,553,46,19,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
14. See infra Part III.A.,footnote,256,723,398,731,142,8,5,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,6,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"Because a capabilities approach has elements of each of the previous ethical frameworks,  it  also  faces  some  of  the  same  challenges.  As  with  a  utilitarian approach, a capabilities framework could foist significant affirmative duties on agencies to improve wild animals' lives. And as with a rights-based approach, a capabilities  approach  must  give  way  to  statutory  mandates  that  animals  be removed.",body_text,226,272,779,365,553,93,56,california_law_review_Crafting_a_New_Conservationism
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
S OCIAL J USTICE C LAIMS IN P UBLIC L AW,heading,361,156,640,167,279,11,14,california_law_review_Social_Justice_Conflicts_in_Public_Law
E. Amazon's House Brands,caption,401,471,604,482,203,11,50,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
3. Undermining Agency Legitimacy,heading,256,270,516,281,260,11,50,california_law_review_Crafting_a_New_Conservationism
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,48,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,72,california_law_review_Crafting_a_New_Conservationism
21 See infra notes 60-83 and accompanying text.,footnote,161,904,547,917,386,13,4,boston_college_law_review_Untitled
"Figure 11. Number of Applications for a One-Word Nonsense Mark, by Filing Year",caption,263,140,779,167,516,27,48,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"In sum, while the principle that a sign must be used as a trademark to aualify forprotection is strichtforward in thenry its annlication often hinded on",body_text,113,258,632,272,519,14,18,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"However, even if the local referendum power poses fewer timing conflicts, that  is  not  the  end  of  the  analysis.  Referenda  may  prevent  cities  from  timely adopting housing elements, for which the statute would impose consequences. 168 The legislature allows courts to fine  jurisdictions  with  noncompliant  housing elements up to $100,000 per month. 169 Also, the Housing Accountability Act (HAA) allows 'developers to sue cities that were unreasonably blocking . . . housing projects' in 'cities which were not in compliance with their RHNA.' 170 The  legislature  recently  strengthened  the  HAA  by  giving  the Attorney  General  enforcement  powers  as  an  alternative  to  'relying  solely  on developer  lawsuits.' 171 Thus,  referenda  that  prevent  cities  from  submitting housing elements for HCD approval would conflict with the statutory scheme beyond mere timing issues.",body_text,226,207,779,398,553,191,19,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"169. See, e.g., Richard A. Epstein, Why Restrain Alienation?, 85 Colum. L. Rev. 970, 974-78 (1985) (discussing limits on sale of guns, alcohol, and drugs, including age requirements and other eligibility criteria).",footnote,160,814,851,855,691,41,39,columbia_forcings
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
2025] AMAZON'S QUIET OVERHAUL OF THE TRADEMARK SYSTEM,page_header,226,106,721,117,495,11,7,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
T OWARD A N EW C ONSERVATIONISM,heading,374,156,626,167,252,11,47,california_law_review_Crafting_a_New_Conservationism
"399. J AMES L INDLEY W ILSON , D EMOCRATIC E QUALITY 76-79 (2019) (discussing the temporally elongated nature of modern policymaking).",footnote,226,634,778,656,552,22,71,california_law_review_Social_Justice_Conflicts_in_Public_Law
Figure 7. Number of Applications by Filing Year,caption,263,442,604,453,341,11,32,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
313. See supra Part II.B.,footnote,249,647,397,656,148,9,61,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
A MAZON ' S B USINESS M ODEL AND B RAND R EGISTRY,heading,318,253,683,264,365,11,21,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Amazon's Quiet Overhaul of the Trademark System,heading,286,162,723,210,437,48,1,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 13. Rates of Publication for Nonsense Marks and All Marks,caption,263,278,728,289,465,11,49,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"147. See generally, e.g. ,  Stancil, supra note 44; Solum, supra note 43; Tyler, supra note 44; Thibaut et al., supra note 44.",footnote,226,685,778,706,552,21,30,california_law_review_Social_Justice_Conflicts_in_Public_Law
C. Separation of Powers as General Law,heading,354,449,651,460,297,11,33,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"101. Cal. Dep't of Hous. & Cmty. Dev. , 2022 Cal. Super. LEXIS 1969, at *4.",footnote,249,647,678,656,429,9,12,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
TABLE 1: DOMAINS OF GOVERNMENT ACTION,caption,301,328,709,345,408,17,35,columbia_forcings
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"Figure 6. Number of Applications by Single Filers, by Filing Year",caption,263,140,722,151,459,11,32,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 15. Amazon search results for 'Hanes T-shirt',caption,263,361,635,371,372,10,54,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
A. Extending Forcings,heading,160,468,351,485,191,17,57,columbia_forcings
A. Access to Court Proceedings,heading,386,487,619,498,233,11,8,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
"harassment to individual listed animals. 108 Theoretically, learning to attend to animals in this individualized way could influence how wildlife managers relate to and manage animals generally. 109",body_text,226,137,779,183,553,46,22,california_law_review_Crafting_a_New_Conservationism
"To decrease necessary removals, some  NEPA  analyses  require or encourage 'hazing' animals-that is, employing techniques to 'scare animals away and instill in them a fear of humans.' 166 The Corps' 2015 EIS adopts a management plan for double-crested cormorants that includes chasing birds with boats  bearing  cracker  shells  and  pyrotechnics. 167 Doing  so  is  necessary,  the Corps  explains,  to  comply  with  depredation  permits  issued  by  FWS,  'which typically specif[y] use and integration of non-lethal techniques.' 168 Similarly, NOAA  Fisheries'  2008  EA  recommends  hazing  sea  lions  to  supplement removals. Boat-borne  government workers chase sea lions downstream, pursuing them with rubber projectiles and 'seal bombs'-underwater explosives-while cracker shells and pyrotechnics fill the air with blasts and flashes. 169 NOAA  Fisheries  proposed  to  use  2,500  vessel  chases, 170 14,000 cracker shells, 171 and 10,000 pyrotechnics in one season. 172",body_text,226,363,779,571,553,208,34,california_law_review_Crafting_a_New_Conservationism
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,40,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
B. The Brand Registry as a Business Tool,heading,367,554,668,565,301,11,24,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"128. Id. at 16, 58-59. Now that Amazon has become dominant, it engages in more traditional advertising. Id. at 16-17.",body_text,226,824,778,845,552,21,22,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
